Concept,Concept.name,Original code,Code_new,system
C0007871,Uterine Cervical Incompetence,"156172008,199481003,199486008,36836005,",36836005,SNOMEDCT_US_c
C0013927,"Embolism, Amniotic Fluid","17263003,",17263003,SNOMEDCT_US_c
C0014761,"Erythroblastosis, Fetal","111468003,123307003,157130001,206429000,206431009,206436004,25121006,387705004,",111468003,SNOMEDCT_US_c
C0014761,"Erythroblastosis, Fetal","111468003,123307003,157130001,206429000,206431009,206436004,25121006,387705004,",123307003,SNOMEDCT_US_c
C0014761,"Erythroblastosis, Fetal","111468003,123307003,157130001,206429000,206431009,206436004,25121006,387705004,",157130001,SNOMEDCT_US_c
C0014761,"Erythroblastosis, Fetal","111468003,123307003,157130001,206429000,206431009,206436004,25121006,387705004,",206429000,SNOMEDCT_US_c
C0014761,"Erythroblastosis, Fetal","111468003,123307003,157130001,206429000,206431009,206436004,25121006,387705004,",206431009,SNOMEDCT_US_c
C0014761,"Erythroblastosis, Fetal","111468003,123307003,157130001,206429000,206431009,206436004,25121006,387705004,",206436004,SNOMEDCT_US_c
C0014761,"Erythroblastosis, Fetal","111468003,123307003,157130001,206429000,206431009,206436004,25121006,387705004,",25121006,SNOMEDCT_US_c
C0014761,"Erythroblastosis, Fetal","111468003,123307003,157130001,206429000,206431009,206436004,25121006,387705004,",387705004,SNOMEDCT_US_c
C0015934,Fetal Growth Retardation,"156185006,206166000,22033007,",156185006,SNOMEDCT_US_c
C0015934,Fetal Growth Retardation,"156185006,206166000,22033007,",206166000,SNOMEDCT_US_c
C0015934,Fetal Growth Retardation,"156185006,206166000,22033007,",22033007,SNOMEDCT_US_c
C0015944,"Fetal Membranes, Premature Rupture","156189000,156191008,199657001,199663005,237266003,",156189000,SNOMEDCT_US_c
C0015944,"Fetal Membranes, Premature Rupture","156189000,156191008,199657001,199663005,237266003,",156191008,SNOMEDCT_US_c
C0015944,"Fetal Membranes, Premature Rupture","156189000,156191008,199657001,199663005,237266003,",199657001,SNOMEDCT_US_c
C0015944,"Fetal Membranes, Premature Rupture","156189000,156191008,199657001,199663005,237266003,",199663005,SNOMEDCT_US_c
C0015944,"Fetal Membranes, Premature Rupture","156189000,156191008,199657001,199663005,237266003,",237266003,SNOMEDCT_US_c
C0015959,Fetomaternal Transfusion,"199576009,199579002,206392000,24141009,71028008,",199576009,SNOMEDCT_US_c
C0015959,Fetomaternal Transfusion,"199576009,199579002,206392000,24141009,71028008,",199579002,SNOMEDCT_US_c
C0015959,Fetomaternal Transfusion,"199576009,199579002,206392000,24141009,71028008,",206392000,SNOMEDCT_US_c
C0015959,Fetomaternal Transfusion,"199576009,199579002,206392000,24141009,71028008,",24141009,SNOMEDCT_US_c
C0015959,Fetomaternal Transfusion,"199576009,199579002,206392000,24141009,71028008,",71028008,SNOMEDCT_US_c
C0019088,Hemorrhagic Disease of Newborn,"12546009,",12546009,SNOMEDCT_US_c
C0020217,Hydatidiform Mole,"123300001,156085008,189856005,235323008,236118006,367455000,44782008,",123300001,SNOMEDCT_US_c
C0020217,Hydatidiform Mole,"123300001,156085008,189856005,235323008,236118006,367455000,44782008,",156085008,SNOMEDCT_US_c
C0020217,Hydatidiform Mole,"123300001,156085008,189856005,235323008,236118006,367455000,44782008,",189856005,SNOMEDCT_US_c
C0020217,Hydatidiform Mole,"123300001,156085008,189856005,235323008,236118006,367455000,44782008,",235323008,SNOMEDCT_US_c
C0020217,Hydatidiform Mole,"123300001,156085008,189856005,235323008,236118006,367455000,44782008,",236118006,SNOMEDCT_US_c
C0020217,Hydatidiform Mole,"123300001,156085008,189856005,235323008,236118006,367455000,44782008,",367455000,SNOMEDCT_US_c
C0020217,Hydatidiform Mole,"123300001,156085008,189856005,235323008,236118006,367455000,44782008,",44782008,SNOMEDCT_US_c
C0020224,Polyhydramnios,"156188008,157052008,199644009,199645005,199648007,199650004,267261001,86203003",156188008,SNOMEDCT_US_c
C0020224,Polyhydramnios,"156188008,157052008,199644009,199645005,199648007,199650004,267261001,86203003",157052008,SNOMEDCT_US_c
C0020224,Polyhydramnios,"156188008,157052008,199644009,199645005,199648007,199650004,267261001,86203003",199644009,SNOMEDCT_US_c
C0020224,Polyhydramnios,"156188008,157052008,199644009,199645005,199648007,199650004,267261001,86203003",199645005,SNOMEDCT_US_c
C0020224,Polyhydramnios,"156188008,157052008,199644009,199645005,199648007,199650004,267261001,86203003",199648007,SNOMEDCT_US_c
C0020224,Polyhydramnios,"156188008,157052008,199644009,199645005,199648007,199650004,267261001,86203003",199650004,SNOMEDCT_US_c
C0020224,Polyhydramnios,"156188008,157052008,199644009,199645005,199648007,199650004,267261001,86203003",267261001,SNOMEDCT_US_c
C0020224,Polyhydramnios,"156188008,157052008,199644009,199645005,199648007,199650004,267261001,86203003",86203003,SNOMEDCT_US_c
C0020450,Hyperemesis Gravidarum,"14094001,156113005,",14094001,SNOMEDCT_US_c
C0020450,Hyperemesis Gravidarum,"14094001,156113005,",156113005,SNOMEDCT_US_c
C0020451,Mild hyperemesis gravidarum,"156114004,199024002,",156114004,SNOMEDCT_US_c
C0020451,Mild hyperemesis gravidarum,"156114004,199024002,",199024002,SNOMEDCT_US_c
C0021293,"Infant, Postmature","147079004,147084005,16207008,",147079004,SNOMEDCT_US_c
C0021293,"Infant, Postmature","147079004,147084005,16207008,",147084005,SNOMEDCT_US_c
C0021293,"Infant, Postmature","147079004,147084005,16207008,",16207008,SNOMEDCT_US_c
C0022927,Lactation Disorders,"200459001,200460006,200465001,35046003,",200459001,SNOMEDCT_US_c
C0022927,Lactation Disorders,"200459001,200460006,200465001,35046003,",200460006,SNOMEDCT_US_c
C0022927,Lactation Disorders,"200459001,200460006,200465001,35046003,",200465001,SNOMEDCT_US_c
C0022927,Lactation Disorders,"200459001,200460006,200465001,35046003,",35046003,SNOMEDCT_US_c
C0026751,Multiparity,"138997008,",138997008,SNOMEDCT_US_c
C0027609,Neonatal Abstinence Syndrome,"414819007,61628006,",414819007,SNOMEDCT_US_c
C0027609,Neonatal Abstinence Syndrome,"414819007,61628006,",61628006,SNOMEDCT_US_c
C0027611,Neonatal dacryocystitis and conjunctivitis (disorder),"206345004,206354001,",206345004,SNOMEDCT_US_c
C0027611,Neonatal dacryocystitis and conjunctivitis (disorder),"206345004,206354001,",206354001,SNOMEDCT_US_c
C0029604,Other ectopic pregnancy,"198623001,198629002,200481006",198623001,SNOMEDCT_US_c
C0029604,Other ectopic pregnancy,"198623001,198629002,200481006",198629002,SNOMEDCT_US_c
C0029604,Other ectopic pregnancy,"198623001,198629002,200481006",200481006,SNOMEDCT_US_c
C0029713,Other preterm infants,"206621008,",206621008,SNOMEDCT_US_c
C0029865,Other unwanted pregnancy,"316385002,",316385002,SNOMEDCT_US_c
C0031190,Persistent Fetal Circulation Syndrome,"204507004,206597007,233815004,35604006,",204507004,SNOMEDCT_US_c
C0031190,Persistent Fetal Circulation Syndrome,"204507004,206597007,233815004,35604006,",206597007,SNOMEDCT_US_c
C0031190,Persistent Fetal Circulation Syndrome,"204507004,206597007,233815004,35604006,",233815004,SNOMEDCT_US_c
C0031190,Persistent Fetal Circulation Syndrome,"204507004,206597007,233815004,35604006,",35604006,SNOMEDCT_US_c
C0032797,Postpartum Hemorrhage,"156239004,156243000,47821001,",156239004,SNOMEDCT_US_c
C0032797,Postpartum Hemorrhage,"156239004,156243000,47821001,",156243000,SNOMEDCT_US_c
C0032797,Postpartum Hemorrhage,"156239004,156243000,47821001,",47821001,SNOMEDCT_US_c
C0032987,Ectopic Pregnancy,"156080003,156083001,",156080003,SNOMEDCT_US_c
C0032987,Ectopic Pregnancy,"156080003,156083001,",156083001,SNOMEDCT_US_c
C0032989,Multiple Pregnancy,"156150006,156154002,199338002,",156150006,SNOMEDCT_US_c
C0032989,Multiple Pregnancy,"156150006,156154002,199338002,",156154002,SNOMEDCT_US_c
C0032989,Multiple Pregnancy,"156150006,156154002,199338002,",199338002,SNOMEDCT_US_c
C0032993,"Pregnancy, Prolonged","156122006,199062004,199065002,199066001,90968009,",156122006,SNOMEDCT_US_c
C0032993,"Pregnancy, Prolonged","156122006,199062004,199065002,199066001,90968009,",199062004,SNOMEDCT_US_c
C0032993,"Pregnancy, Prolonged","156122006,199062004,199065002,199066001,90968009,",199065002,SNOMEDCT_US_c
C0032993,"Pregnancy, Prolonged","156122006,199062004,199065002,199066001,90968009,",199066001,SNOMEDCT_US_c
C0032993,"Pregnancy, Prolonged","156122006,199062004,199065002,199066001,90968009,",90968009,SNOMEDCT_US_c
C0032994,"Pregnancy, Tubal","156082006,198622006,",156082006,SNOMEDCT_US_c
C0032994,"Pregnancy, Tubal","156082006,198622006,",198622006,SNOMEDCT_US_c
C0035220,"Respiratory Distress Syndrome, Newborn","157107007,206281003,3774009,46775006,",157107007,SNOMEDCT_US_c
C0035220,"Respiratory Distress Syndrome, Newborn","157107007,206281003,3774009,46775006,",206281003,SNOMEDCT_US_c
C0035220,"Respiratory Distress Syndrome, Newborn","157107007,206281003,3774009,46775006,",3774009,SNOMEDCT_US_c
C0035220,"Respiratory Distress Syndrome, Newborn","157107007,206281003,3774009,46775006,",46775006,SNOMEDCT_US_c
C0035921,Congenital Rubella Syndrome,"157117002,206332003,",157117002,SNOMEDCT_US_c
C0035921,Congenital Rubella Syndrome,"157117002,206332003,",206332003,SNOMEDCT_US_c
C0036415,Sclerema Neonatorum,"206539008,206542002,78945007",206539008,SNOMEDCT_US_c
C0036415,Sclerema Neonatorum,"206539008,206542002,78945007",206542002,SNOMEDCT_US_c
C0036415,Sclerema Neonatorum,"206539008,206542002,78945007",78945007,SNOMEDCT_US_c
C0038843,Supervision of other normal pregnancy,"315901007,315904004,316748007,",315901007,SNOMEDCT_US_c
C0038843,Supervision of other normal pregnancy,"315901007,315904004,316748007,",315904004,SNOMEDCT_US_c
C0038843,Supervision of other normal pregnancy,"315901007,315904004,316748007,",316748007,SNOMEDCT_US_c
C0079924,Oligohydramnios,"156190009,199652007,199656005,",156190009,SNOMEDCT_US_c
C0079924,Oligohydramnios,"156190009,199652007,199656005,",199652007,SNOMEDCT_US_c
C0079924,Oligohydramnios,"156190009,199652007,199656005,",199656005,SNOMEDCT_US_c
C0085988,Cephalopelvic Disproportion,"156162005,199397009,25749005,",156162005,SNOMEDCT_US_c
C0085988,Cephalopelvic Disproportion,"156162005,199397009,25749005,",199397009,SNOMEDCT_US_c
C0085988,Cephalopelvic Disproportion,"156162005,199397009,25749005,",25749005,SNOMEDCT_US_c
C0151526,Premature Birth,"199056009,199059002,270496001,282020008,49550006,",199056009,SNOMEDCT_US_c
C0151526,Premature Birth,"199056009,199059002,270496001,282020008,49550006,",199059002,SNOMEDCT_US_c
C0151526,Premature Birth,"199056009,199059002,270496001,282020008,49550006,",270496001,SNOMEDCT_US_c
C0151526,Premature Birth,"199056009,199059002,270496001,282020008,49550006,",282020008,SNOMEDCT_US_c
C0151526,Premature Birth,"199056009,199059002,270496001,282020008,49550006,",49550006,SNOMEDCT_US_c
C0151701,Pulmonary hemorrhage,"158386009,207070002,274252009,78144005,",158386009,SNOMEDCT_US_c
C0151701,Pulmonary hemorrhage,"158386009,207070002,274252009,78144005,",207070002,SNOMEDCT_US_c
C0151701,Pulmonary hemorrhage,"158386009,207070002,274252009,78144005,",274252009,SNOMEDCT_US_c
C0151701,Pulmonary hemorrhage,"158386009,207070002,274252009,78144005,",78144005,SNOMEDCT_US_c
C0152150,"Pregnancy, Twin","156151005,199316004,199319006,",156151005,SNOMEDCT_US_c
C0152150,"Pregnancy, Twin","156151005,199316004,199319006,",199316004,SNOMEDCT_US_c
C0152150,"Pregnancy, Twin","156151005,199316004,199319006,",199319006,SNOMEDCT_US_c
C0152151,"Pregnancy, Triplet","156152003,199320000,199323003,64254006",156152003,SNOMEDCT_US_c
C0152151,"Pregnancy, Triplet","156152003,199320000,199323003,64254006",199320000,SNOMEDCT_US_c
C0152151,"Pregnancy, Triplet","156152003,199320000,199323003,64254006",199323003,SNOMEDCT_US_c
C0152151,"Pregnancy, Triplet","156152003,199320000,199323003,64254006",64254006,SNOMEDCT_US_c
C0152152,Quadruplet pregnancy,"156153008,199324009,199327002,",156153008,SNOMEDCT_US_c
C0152152,Quadruplet pregnancy,"156153008,199324009,199327002,",199324009,SNOMEDCT_US_c
C0152152,Quadruplet pregnancy,"156153008,199324009,199327002,",199327002,SNOMEDCT_US_c
C0152156,Obstructed labor,"111448009,156209009,199813003,",111448009,SNOMEDCT_US_c
C0152156,Obstructed labor,"111448009,156209009,199813003,",156209009,SNOMEDCT_US_c
C0152156,Obstructed labor,"111448009,156209009,199813003,",199813003,SNOMEDCT_US_c
C0152158,Failure of lactation,"156287009,200432009,200437003,",156287009,SNOMEDCT_US_c
C0152158,Failure of lactation,"156287009,200432009,200437003,",200432009,SNOMEDCT_US_c
C0152158,Failure of lactation,"156287009,200432009,200437003,",200437003,SNOMEDCT_US_c
C0152159,Hypotonic uterine inertia,"111449001,156211000,199818007,199822002,387692004,387696001,387700009,",111449001,SNOMEDCT_US_c
C0152159,Hypotonic uterine inertia,"111449001,156211000,199818007,199822002,387692004,387696001,387700009,",156211000,SNOMEDCT_US_c
C0152159,Hypotonic uterine inertia,"111449001,156211000,199818007,199822002,387692004,387696001,387700009,",199818007,SNOMEDCT_US_c
C0152159,Hypotonic uterine inertia,"111449001,156211000,199818007,199822002,387692004,387696001,387700009,",199822002,SNOMEDCT_US_c
C0152159,Hypotonic uterine inertia,"111449001,156211000,199818007,199822002,387692004,387696001,387700009,",387692004,SNOMEDCT_US_c
C0152159,Hypotonic uterine inertia,"111449001,156211000,199818007,199822002,387692004,387696001,387700009,",387696001,SNOMEDCT_US_c
C0152159,Hypotonic uterine inertia,"111449001,156211000,199818007,199822002,387692004,387696001,387700009,",387700009,SNOMEDCT_US_c
C0152251,Toxic erythema,"156361006,32698008,58767000,",156361006,SNOMEDCT_US_c
C0152251,Toxic erythema,"156361006,32698008,58767000,",32698008,SNOMEDCT_US_c
C0152251,Toxic erythema,"156361006,32698008,58767000,",58767000,SNOMEDCT_US_c
C0152437,Placental polyp,"200350001,200353004,51195001",200350001,SNOMEDCT_US_c
C0152437,Placental polyp,"200350001,200353004,51195001",200353004,SNOMEDCT_US_c
C0152437,Placental polyp,"200350001,200353004,51195001",51195001,SNOMEDCT_US_c
C0156422,Other abnormal product of conception,"198613005,198615003,",198613005,SNOMEDCT_US_c
C0156422,Other abnormal product of conception,"198613005,198615003,",198615003,SNOMEDCT_US_c
C0156427,Miscarriage complicated by delayed and/or excessive hemorrhage,"2781009,",2781009,SNOMEDCT_US_c
C0156435,Miscarriage complicated by renal failure,"10697004,",10697004,SNOMEDCT_US_c
C0156439,Miscarriage complicated by metabolic disorder,"13384007,",13384007,SNOMEDCT_US_c
C0156443,Miscarriage complicated by shock,"34270000,",34270000,SNOMEDCT_US_c
C0156447,Miscarriage complicated by embolism,"43306002,",43306002,SNOMEDCT_US_c
C0156452,Unspecified spontaneous abortion with other specified complication,"198640005,",198640005,SNOMEDCT_US_c
C0156453,Incomplete spontaneous abortion with other specified complication,"198651005,",198651005,SNOMEDCT_US_c
C0156456,Miscarriage with complication,"198641009,34614007,",198641009,SNOMEDCT_US_c
C0156456,Miscarriage with complication,"198641009,34614007,",34614007,SNOMEDCT_US_c
C0156457,Incomplete miscarriage with complication,"198652003,413338003,",198652003,SNOMEDCT_US_c
C0156457,Incomplete miscarriage with complication,"198652003,413338003,",413338003,SNOMEDCT_US_c
C0156458,Complete spontaneous abortion with complication NOS,"198665007,",198665007,SNOMEDCT_US_c
C0156459,Unspecified spontaneous abortion without mention of complication,"198642002,",198642002,SNOMEDCT_US_c
C0156465,Incomplete legal termination of pregnancy with genital tract or pelvic infection,"198705001,",198705001,SNOMEDCT_US_c
C0156466,Complete legal termination of pregnancy with genital tract or pelvic infection,"198718009,",198718009,SNOMEDCT_US_c
C0156469,Incomplete legal termination of pregnancy with delayed or excessive hemorrhage,"198706000,",198706000,SNOMEDCT_US_c
C0156470,Complete legal termination of pregnancy with delayed or excessive hemorrhage,"198719001,",198719001,SNOMEDCT_US_c
C0156472,Legal termination of pregnancy complicated by damage to pelvic organ and/or tissues,"111431001,198694000,",111431001,SNOMEDCT_US_c
C0156472,Legal termination of pregnancy complicated by damage to pelvic organ and/or tissues,"111431001,198694000,",198694000,SNOMEDCT_US_c
C0156473,Incomplete legal termination of pregnancy with damage to pelvic organs or tissues,"198707009,",198707009,SNOMEDCT_US_c
C0156474,Complete legal termination of pregnancy with damage to pelvic organs or tissues,"198720007,",198720007,SNOMEDCT_US_c
C0156477,Incomplete legal termination of pregnancy with renal failure,"198708004,",198708004,SNOMEDCT_US_c
C0156478,Complete legal termination of pregnancy with renal failure,"198721006,",198721006,SNOMEDCT_US_c
C0156481,Incomplete legal termination of pregnancy with metabolic disorder,"198709007,",198709007,SNOMEDCT_US_c
C0156482,Complete legal termination of pregnancy with metabolic disorder,"198722004,",198722004,SNOMEDCT_US_c
C0156485,Incomplete legal termination of pregnancy with shock,"198710002,",198710002,SNOMEDCT_US_c
C0156486,Complete legal termination of pregnancy with shock,"198723009,",198723009,SNOMEDCT_US_c
C0156490,Complete legal termination of pregnancy with embolism,"198724003,",198724003,SNOMEDCT_US_c
C0156492,Unspecified legal abortion with other specified complication,"198699005,",198699005,SNOMEDCT_US_c
C0156493,Incomplete legal abortion with other specified complication,"198712005,",198712005,SNOMEDCT_US_c
C0156494,Complete legal abortion with other specified complication,"198725002,",198725002,SNOMEDCT_US_c
C0156498,Complete legal abortion with complication NOS,"198726001,",198726001,SNOMEDCT_US_c
C0156499,Unspecified legal abortion with no mention of complication,"198702003,",198702003,SNOMEDCT_US_c
C0156532,Unspecified illegal abortion with other specified complication,"198739002,",198739002,SNOMEDCT_US_c
C0156533,Incomplete illegal abortion with other specified complication,"198751000,",198751000,SNOMEDCT_US_c
C0156534,Complete illegal abortion with other specified complication,"198763005,",198763005,SNOMEDCT_US_c
C0156585,Failed attempted termination of pregnancy complicated by delayed and/or excessive hemorrhage,"26623000,",26623000,SNOMEDCT_US_c
C0156587,Failed attempted termination of pregnancy complicated by renal failure,"29421008,",29421008,SNOMEDCT_US_c
C0156588,Failed attempted termination of pregnancy complicated by metabolic disorder,"5939002,",5939002,SNOMEDCT_US_c
C0156590,Failed attempted termination of pregnancy complicated by embolism,"13943000,",13943000,SNOMEDCT_US_c
C0156591,Failed attempted abortion with other specified complication,"198814001,",198814001,SNOMEDCT_US_c
C0156592,Failed attempted termination of pregnancy with complication,"198815000,59919008,",198815000,SNOMEDCT_US_c
C0156592,Failed attempted termination of pregnancy with complication,"198815000,59919008,",59919008,SNOMEDCT_US_c
C0156604,Hemorrhage in early pregnancy,"198886009,198891005,198892003,25825004,",198886009,SNOMEDCT_US_c
C0156604,Hemorrhage in early pregnancy,"198886009,198891005,198892003,25825004,",198891005,SNOMEDCT_US_c
C0156604,Hemorrhage in early pregnancy,"198886009,198891005,198892003,25825004,",198892003,SNOMEDCT_US_c
C0156604,Hemorrhage in early pregnancy,"198886009,198891005,198892003,25825004,",25825004,SNOMEDCT_US_c
C0156605,"Threatened abortion, unspecified as to episode of care","111434009,",111434009,SNOMEDCT_US_c
C0156606,Threatened abortion - delivered,"198883001,71115004,",198883001,SNOMEDCT_US_c
C0156606,Threatened abortion - delivered,"198883001,71115004,",71115004,SNOMEDCT_US_c
C0156609,"Other specified hemorrhage in early pregnancy, unspecified as to episode of care or not applicable","111435005,",111435005,SNOMEDCT_US_c
C0156613,"Unspecified hemorrhage in early pregnancy, unspecified as to episode of care","111433003,",111433003,SNOMEDCT_US_c
C0156616,"Antepartum hemorrhage, abruptio placentae and placenta previa","198896000,267197003,",198896000,SNOMEDCT_US_c
C0156616,"Antepartum hemorrhage, abruptio placentae and placenta previa","198896000,267197003,",267197003,SNOMEDCT_US_c
C0156617,Placenta previa without hemorrhage,"156099007,198898004,198902005,7792000,",156099007,SNOMEDCT_US_c
C0156617,Placenta previa without hemorrhage,"156099007,198898004,198902005,7792000,",198898004,SNOMEDCT_US_c
C0156617,Placenta previa without hemorrhage,"156099007,198898004,198902005,7792000,",198902005,SNOMEDCT_US_c
C0156617,Placenta previa without hemorrhage,"156099007,198898004,198902005,7792000,",7792000,SNOMEDCT_US_c
C0156621,Placenta previa with hemorrhage,"156101000,19882008,198903000,198904006,198907004,",156101000,SNOMEDCT_US_c
C0156621,Placenta previa with hemorrhage,"156101000,19882008,198903000,198904006,198907004,",19882008,SNOMEDCT_US_c
C0156621,Placenta previa with hemorrhage,"156101000,19882008,198903000,198904006,198907004,",198903000,SNOMEDCT_US_c
C0156621,Placenta previa with hemorrhage,"156101000,19882008,198903000,198904006,198907004,",198904006,SNOMEDCT_US_c
C0156621,Placenta previa with hemorrhage,"156101000,19882008,198903000,198904006,198907004,",198907004,SNOMEDCT_US_c
C0156631,Antepartum hemorrhage associated with coagulation defect,"156103002,198916000,198919007,267199000,2814002,",156103002,SNOMEDCT_US_c
C0156631,Antepartum hemorrhage associated with coagulation defect,"156103002,198916000,198919007,267199000,2814002,",198916000,SNOMEDCT_US_c
C0156631,Antepartum hemorrhage associated with coagulation defect,"156103002,198916000,198919007,267199000,2814002,",198919007,SNOMEDCT_US_c
C0156631,Antepartum hemorrhage associated with coagulation defect,"156103002,198916000,198919007,267199000,2814002,",267199000,SNOMEDCT_US_c
C0156631,Antepartum hemorrhage associated with coagulation defect,"156103002,198916000,198919007,267199000,2814002,",2814002,SNOMEDCT_US_c
C0156635,Other antepartum haemorrhage,"198931009,198932002,198935000,200522000,",198931009,SNOMEDCT_US_c
C0156635,Other antepartum haemorrhage,"198931009,198932002,198935000,200522000,",198932002,SNOMEDCT_US_c
C0156635,Other antepartum haemorrhage,"198931009,198932002,198935000,200522000,",198935000,SNOMEDCT_US_c
C0156635,Other antepartum haemorrhage,"198931009,198932002,198935000,200522000,",200522000,SNOMEDCT_US_c
C0156653,Other pre-existing hypertension in preg/childbirth/puerp,"198956003,198957007,198962008,",198956003,SNOMEDCT_US_c
C0156653,Other pre-existing hypertension in preg/childbirth/puerp,"198956003,198957007,198962008,",198957007,SNOMEDCT_US_c
C0156653,Other pre-existing hypertension in preg/childbirth/puerp,"198956003,198957007,198962008,",198962008,SNOMEDCT_US_c
C0156677,Eclampsia in pregnancy,"198992004,",198992004,SNOMEDCT_US_c
C0156678,Eclampsia in puerperium,"303063000,",303063000,SNOMEDCT_US_c
C0156697,Hyperemesis gravidarum with metabolic disturbance - delivered,"199027009,",199027009,SNOMEDCT_US_c
C0156699,Late vomiting of pregnancy,"156116002,199031003,199034006,",156116002,SNOMEDCT_US_c
C0156699,Late vomiting of pregnancy,"156116002,199031003,199034006,",199031003,SNOMEDCT_US_c
C0156699,Late vomiting of pregnancy,"156116002,199031003,199034006,",199034006,SNOMEDCT_US_c
C0156701,Late pregnancy vomiting - delivered,"199032005,",199032005,SNOMEDCT_US_c
C0156703,Other vomiting complicating pregnancy,"200497001,",200497001,SNOMEDCT_US_c
C0156709,Unspecified pregnancy vomiting - delivered,"199042007,",199042007,SNOMEDCT_US_c
C0156711,Early or threatened labour NOS,"199046005,199060007,",199046005,SNOMEDCT_US_c
C0156711,Early or threatened labour NOS,"199046005,199060007,",199060007,SNOMEDCT_US_c
C0156724,Fetus papyraceous,"156131006,199068000,199071008,267314000,414249001,90127001",156131006,SNOMEDCT_US_c
C0156724,Fetus papyraceous,"156131006,199068000,199071008,267314000,414249001,90127001",199068000,SNOMEDCT_US_c
C0156724,Fetus papyraceous,"156131006,199068000,199071008,267314000,414249001,90127001",199071008,SNOMEDCT_US_c
C0156724,Fetus papyraceous,"156131006,199068000,199071008,267314000,414249001,90127001",267314000,SNOMEDCT_US_c
